19070020,1,1995,2013
99080198,1,1996,2014
74050678,1,1995,2014
79059733,0,1993,2011
99188249,1,1973,2012
92071296,0,1993,2011
15111358,0,1987,2013
48064931,1,1992,2011
81167033,0,1991,2014
22045866,0,1994,2012
25172119,0,1991,2014
91163941,0,1982,2013
91085606,0,1996,2014
74054323,1,1996,2014
94054439,1,1993,2011
13053525,1,1997,2014
52135908,0,1991,2014
66055362,1,1991,2011
27064123,1,1998,2014
82086397,0,1993,2011
78106852,1,1996,2014
45148810,0,1991,2013
79165998,1,1974,2012
57159054,0,1992,2014
88142682,0,1992,2013
88061891,1,1992,2011
85173596,0,1984,2011
31173492,1,1988,2013
25004857,1,1996,2014
24133541,1,1989,2012
81193014,1,1984,2014
76051337,1,1993,2014
89165181,0,1988,2010
83193407,1,1986,2014
34045978,0,1992,2011
85046272,0,1991,2010
13050122,1,1995,2014
62183917,0,1993,2014
22065726,1,1994,2012
73110154,1,1989,2012
31160958,1,1989,2012
24053509,1,1993,2010
81149501,0,1989,2013
62118873,1,1992,2014
39192743,1,1987,2014
57065729,1,1994,2012
46158379,1,1986,2009
73061007,1,1993,2012
53137796,1,1987,2011
33053003,1,1994,2012
28008276,1,1994,2012
68102914,1,1995,2013
89044432,1,1992,2011
39048830,1,1995,2013
62053162,1,1993,2012
35179050,1,1989,2012
47160740,1,1990,2012
49055274,1,1992,2010
12159867,1,1982,2014
89168445,1,1991,2013
48067910,1,1994,2012
32115656,0,1992,2014
49023405,1,1996,2014
27161128,1,1989,2011
22075409,0,1993,2011
92052466,1,1997,2012
44010780,1,1996,2014
49128437,0,1988,2014
61194329,1,1980,2014
15052967,1,1994,2013
45058227,1,1994,2012
65106144,0,1995,2013
64067870,1,1993,2011
67022480,0,1996,2014
13177086,0,1988,2011
46193776,0,1986,2014
24149917,1,1988,2010
79193511,1,1981,2014
21170740,1,1990,2012
35175480,0,1986,2014
62125806,0,1984,2013
19050472,1,1996,2012
44119164,1,1983,2010
57050515,1,1994,2012
79065185,1,1993,2013
57159252,1,1992,2014
48125400,1,1991,2014
85013647,1,1993,2013
39105687,1,1995,2013
38089889,1,1993,2011
43043074,1,1995,2014
52162214,1,1987,2012
87064952,1,1991,2011
85176702,1,1987,2014
46160551,1,1982,2012
53161057,1,1989,2012
22089772,0,1991,2010
87026060,1,1994,2012
46059187,0,1996,2014
64067282,1,1994,2013
32063596,0,1995,2012
25160067,1,1987,2012
67128179,1,1981,2014
16159466,1,1977,2014
28120664,1,1991,2014
56159151,1,1991,2014
32125593,1,1990,2012
39052322,1,1998,2014
87058055,0,1996,2014
35123653,1,1992,2012
25097788,1,1995,2013
86158126,1,1991,2013
94165278,0,1989,2012
12159372,1,1993,2014
91161154,1,1983,2012
86140019,1,1990,2012
89164748,0,1986,2013
27194282,1,1988,2014
87052197,0,1995,2013
71066059,1,1996,2014
92139072,1,1978,2014
68175453,1,1991,2014
98193290,1,1982,2014
88180676,0,1991,2013
43095792,1,1993,2012
55148143,0,1983,2013
65196147,1,1991,2014
44063200,1,1994,2013
58121281,1,1980,2013
93165997,1,1982,2012
23173256,1,1987,2014
41125411,0,1992,2014
82193624,1,1988,2014
52060283,1,1996,2014
49161494,1,1990,2012
